id,title,year,type,num_subscription_services,has_subscription,exclusive,rent_buy_only,cinema_only,subscription_services,monetization_types
ts421128,Bargain Block: New Orleans,2024,show,2,true,false,false,false,Discovery+|Max,ADS|BUY|FLATRATE|FREE
ts433926,Darimi paemilli,2024,show,3,true,false,false,false,Kocowa|OnDemandKorea|Rakuten Viki,ADS|FLATRATE
ts444485,Lego Pixar: BrickToons,2024,show,1,true,true,false,false,Disney+,FLATRATE
ts329634,Megamind Rules!,2024,show,1,true,true,false,false,Peacock,FLATRATE
ts45485,We Are Family,2024,show,0,false,false,false,false,,
ts406080,Hot Wheels Let's Race,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts439067,Yo Gabba GabbaLand!,2024,show,1,true,true,false,false,Apple TV+,FLATRATE
ts432340,Bluey Minisodes,2024,show,0,false,false,true,false,,BUY|FLATRATE
ts389993,Luz,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts279941,Wayne Brady: The Family Remix,2024,show,2,true,false,false,false,Disney+|Hulu,BUY|FLATRATE
ts373891,Wonderboys: The Secret Treasure of Naples,2024,show,1,true,true,false,false,Disney+,FLATRATE
ts402998,Barbie Mysteries,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts410494,Minyeowa Sunjeongnam,2024,show,3,true,false,false,false,Kocowa|OnDemandKorea|Rakuten Viki,ADS|FLATRATE
ts358219,Mermaid Magic,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts369973,Ronja the Robber's Daughter,2024,show,0,false,false,false,false,,ADS|FLATRATE
ts318696,Primos,2024,show,1,true,true,false,false,Disney+,BUY|FLATRATE
ts327509,La partitura secreta,2024,show,1,true,true,false,false,Disney+,FLATRATE
ts358534,Zombies: The Re-Animated Series,2024,show,1,true,true,false,false,Disney+,BUY|FLATRATE
ts432116,Like Nastya,2024,show,2,true,false,false,false,Amazon Prime Video|Ryan and Friends Plus,ADS|BUY|FLATRATE|FREE
ts406084,Dee & Friends in Oz,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts256786,Wonderoos,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts446630,KLASS 95: The Power of Beauty,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts407146,Gangnam Project,2024,show,1,true,true,false,false,Netflix,FLATRATE
tm1484207,The Substance,2024,movie,2,true,false,false,false,MUBI|Max,BUY|CINEMA|FLATRATE|RENT
tm1433824,Oddity,2024,movie,4,true,false,false,false,AMC+|Disney+|Hulu|Shudder,BUY|CINEMA|FLATRATE|FREE|RENT
tm1419476,I Saw the TV Glow,2024,movie,0,false,false,false,false,,ADS|BUY|CINEMA|FLATRATE|FREE|RENT
tm1287241,Twisters,2024,movie,2,true,false,false,false,Disney+|Hulu,BUY|CINEMA|FLATRATE|RENT
tm1349473,Alien: Romulus,2024,movie,2,true,false,false,false,Disney+|Hulu,BUY|CINEMA|FLATRATE|RENT
tm1415113,Civil War,2024,movie,0,false,false,false,false,,ADS|BUY|CINEMA|RENT
tm1382322,Strange Darling,2024,movie,1,true,true,false,false,Paramount+,BUY|CINEMA|FLATRATE|RENT
tm1492557,Heretic,2024,movie,3,true,false,false,false,Acorn TV|Cinemax|Max,BUY|CINEMA|FLATRATE|RENT
tm1286398,Afraid,2024,movie,2,true,false,false,false,Disney+|Hulu,BUY|CINEMA|FLATRATE|RENT
tm1457029,Conclave,2024,movie,1,true,true,false,false,Starz,BUY|CINEMA|FLATRATE|RENT
tm1459469,September 5,2024,movie,3,true,false,false,false,Amazon Prime Video|MGM+|Paramount+,BUY|CINEMA|FLATRATE|RENT
tm1329955,Speak No Evil,2024,movie,1,true,true,false,false,Starz,BUY|CINEMA|FLATRATE|RENT
tm1287858,Arcadian,2024,movie,4,true,false,false,false,AMC+|Disney+|Hulu|Shudder,BUY|CINEMA|FLATRATE|FREE|RENT
tm1389634,Smile 2,2024,movie,3,true,false,false,false,Amazon Prime Video|MGM+|Paramount+,BUY|CINEMA|FLATRATE|RENT
tm1496958,Subservience,2024,movie,0,false,false,true,false,,BUY|FREE|RENT
